course_id,course_name,department,semester,instructor_id,registered_strength,duration_slots,session_type
CSE100,CSE Course 1,CSE,6,CSE-I05,70,1,tutorial
ECE101,ECE Course 2,ECE,5,ECE-I04,90,1,lecture
ME102,ME Course 3,ME,5,ME-I03,103,1,lab
CE103,CE Course 4,CE,7,CE-I05,34,1,lab
EE104,EE Course 5,EE,5,EE-I05,57,1,lab
MCA105,MCA Course 6,MCA,1,MCA-I02,62,1,lab
PhD106,PhD Course 7,PhD,7,PhD-I01,108,1,tutorial
CSE107,CSE Course 8,CSE,2,CSE-I04,44,1,tutorial
ECE108,ECE Course 9,ECE,1,ECE-I02,88,1,tutorial
ME109,ME Course 10,ME,6,ME-I05,61,1,tutorial
CE110,CE Course 11,CE,3,CE-I01,94,1,lab
EE111,EE Course 12,EE,5,EE-I01,67,1,lecture
MCA112,MCA Course 13,MCA,8,MCA-I04,93,1,tutorial
PhD113,PhD Course 14,PhD,4,PhD-I05,53,1,lecture
CSE114,CSE Course 15,CSE,1,CSE-I02,110,1,lab
ECE115,ECE Course 16,ECE,4,ECE-I01,98,1,lecture
ME116,ME Course 17,ME,3,ME-I03,87,1,lecture
CE117,CE Course 18,CE,8,CE-I04,74,1,lab
EE118,EE Course 19,EE,6,EE-I05,31,1,tutorial
MCA119,MCA Course 20,MCA,7,MCA-I02,25,1,tutorial
