room_id,block_id,capacity
R-0001,HB-1,3
R-0002,HB-1,4
R-0003,HB-1,2
R-0004,HB-1,4
R-0005,HB-1,2
R-0006,HB-1,4
R-0007,HB-1,3
R-0008,HB-1,4
R-0009,HB-1,2
R-0010,HB-1,3
R-0011,HB-1,4
R-0012,HB-1,2
R-0013,HB-1,2
R-0014,HB-1,2
R-0015,HB-1,2
R-0016,HB-1,3
R-0017,HB-1,3
R-0018,HB-1,2
R-0019,HB-1,2
R-0020,HB-1,2
R-0021,HB-2,4
R-0022,HB-2,4
R-0023,HB-2,2
R-0024,HB-2,2
R-0025,HB-2,2
R-0026,HB-2,4
R-0027,HB-2,4
R-0028,HB-2,4
R-0029,HB-2,2
R-0030,HB-2,3
R-0031,HB-2,2
R-0032,HB-2,4
R-0033,HB-2,3
R-0034,HB-2,2
R-0035,HB-2,4
R-0036,HB-2,3
R-0037,HB-2,3
R-0038,HB-2,2
R-0039,HB-2,2
R-0040,HB-2,4
R-0041,HB-3,2
R-0042,HB-3,2
R-0043,HB-3,4
R-0044,HB-3,2
R-0045,HB-3,3
R-0046,HB-3,4
R-0047,HB-3,3
R-0048,HB-3,3
R-0049,HB-3,2
R-0050,HB-3,3
R-0051,HB-3,3
R-0052,HB-3,3
R-0053,HB-3,2
R-0054,HB-3,2
R-0055,HB-3,4
R-0056,HB-3,4
R-0057,HB-3,4
R-0058,HB-3,2
R-0059,HB-3,4
R-0060,HB-3,2
R-0061,HB-4,3
R-0062,HB-4,2
R-0063,HB-4,4
R-0064,HB-4,2
R-0065,HB-4,4
R-0066,HB-4,2
R-0067,HB-4,4
R-0068,HB-4,3
R-0069,HB-4,2
R-0070,HB-4,2
R-0071,HB-4,4
R-0072,HB-4,2
R-0073,HB-4,2
R-0074,HB-4,3
R-0075,HB-4,2
R-0076,HB-4,2
R-0077,HB-4,3
R-0078,HB-4,4
R-0079,HB-4,4
R-0080,HB-4,4
R-0081,HB-5,2
R-0082,HB-5,3
R-0083,HB-5,2
R-0084,HB-5,4
R-0085,HB-5,3
R-0086,HB-5,2
R-0087,HB-5,4
R-0088,HB-5,2
R-0089,HB-5,2
R-0090,HB-5,4
R-0091,HB-5,3
R-0092,HB-5,4
R-0093,HB-5,3
R-0094,HB-5,4
R-0095,HB-5,3
R-0096,HB-5,2
R-0097,HB-5,2
R-0098,HB-5,4
R-0099,HB-5,2
R-0100,HB-5,3
R-0101,HB-6,2
R-0102,HB-6,2
R-0103,HB-6,3
R-0104,HB-6,2
R-0105,HB-6,3
R-0106,HB-6,4
R-0107,HB-6,2
R-0108,HB-6,2
R-0109,HB-6,2
R-0110,HB-6,4
R-0111,HB-6,3
R-0112,HB-6,3
R-0113,HB-6,2
R-0114,HB-6,4
R-0115,HB-6,2
R-0116,HB-6,4
R-0117,HB-6,2
R-0118,HB-6,4
R-0119,HB-6,2
R-0120,HB-6,2
