mess_id,date,meal_slot,registered_diners,actual_headcount,day_of_week,is_exam_week,is_holiday,menu_popularity_score
MESS-1,2026-01-01,breakfast,50,34,3,0,0,0.91
MESS-1,2026-01-01,lunch,50,40,3,0,0,0.81
MESS-1,2026-01-01,snacks,50,27,3,0,0,0.25
MESS-1,2026-01-01,dinner,50,39,3,0,0,0.1
MESS-1,2026-01-02,breakfast,50,32,4,0,0,0.13
MESS-1,2026-01-02,lunch,50,38,4,0,0,0.05
MESS-1,2026-01-02,snacks,50,28,4,0,0,0.23
MESS-1,2026-01-02,dinner,50,36,4,0,0,0.79
MESS-1,2026-01-03,breakfast,50,29,5,0,1,0.85
MESS-1,2026-01-03,lunch,50,35,5,0,1,0.34
MESS-1,2026-01-03,snacks,50,20,5,0,1,0.4
MESS-1,2026-01-03,dinner,50,31,5,0,1,0.53
MESS-1,2026-01-04,breakfast,50,29,6,0,1,0.88
MESS-1,2026-01-04,lunch,50,35,6,0,1,0.82
MESS-1,2026-01-04,snacks,50,24,6,0,1,0.56
MESS-1,2026-01-04,dinner,50,31,6,0,1,0.25
MESS-1,2026-01-05,breakfast,50,31,0,0,0,0.56
MESS-1,2026-01-05,lunch,50,37,0,0,0,0.32
MESS-1,2026-01-05,snacks,50,26,0,0,0,0.6
MESS-1,2026-01-05,dinner,50,36,0,0,0,0.19
MESS-1,2026-01-06,breakfast,50,34,1,0,0,0.36
MESS-1,2026-01-06,lunch,50,40,1,0,0,0.34
MESS-1,2026-01-06,snacks,50,26,1,0,0,0.76
MESS-1,2026-01-06,dinner,50,39,1,0,0,0.82
MESS-1,2026-01-07,breakfast,50,30,2,0,0,0.56
MESS-1,2026-01-07,lunch,50,42,2,0,0,0.04
MESS-1,2026-01-07,snacks,50,29,2,0,0,0.78
MESS-1,2026-01-07,dinner,50,36,2,0,0,0.9
MESS-1,2026-01-08,breakfast,50,32,3,0,0,0.79
MESS-1,2026-01-08,lunch,50,37,3,0,0,0.79
MESS-1,2026-01-08,snacks,50,28,3,0,0,0.29
MESS-1,2026-01-08,dinner,50,39,3,0,0,0.79
MESS-1,2026-01-09,breakfast,50,31,4,0,0,0.3
MESS-1,2026-01-09,lunch,50,39,4,0,0,0.97
MESS-1,2026-01-09,snacks,50,27,4,0,0,0.45
MESS-1,2026-01-09,dinner,50,39,4,0,0,0.41
MESS-1,2026-01-10,breakfast,50,29,5,0,1,0.43
MESS-1,2026-01-10,lunch,50,37,5,0,1,0.91
MESS-1,2026-01-10,snacks,50,22,5,0,1,0.56
MESS-1,2026-01-10,dinner,50,35,5,0,1,0.71
MESS-1,2026-01-11,breakfast,50,28,6,0,1,0.56
MESS-1,2026-01-11,lunch,50,35,6,0,1,0.75
MESS-1,2026-01-11,snacks,50,21,6,0,1,0.75
MESS-1,2026-01-11,dinner,50,34,6,0,1,0.5
MESS-1,2026-01-12,breakfast,50,34,0,0,0,0.0
MESS-1,2026-01-12,lunch,50,38,0,0,0,0.61
MESS-1,2026-01-12,snacks,50,28,0,0,0,0.82
MESS-1,2026-01-12,dinner,50,38,0,0,0,0.76
MESS-1,2026-01-13,breakfast,50,32,1,0,0,0.85
MESS-1,2026-01-13,lunch,50,37,1,0,0,0.57
MESS-1,2026-01-13,snacks,50,28,1,0,0,0.64
MESS-1,2026-01-13,dinner,50,38,1,0,0,0.57
MESS-1,2026-01-14,breakfast,50,33,2,0,0,0.81
MESS-1,2026-01-14,lunch,50,42,2,0,0,0.28
MESS-1,2026-01-14,snacks,50,29,2,0,0,0.71
MESS-1,2026-01-14,dinner,50,41,2,0,0,0.97
MESS-1,2026-01-15,breakfast,50,33,3,0,0,0.76
MESS-1,2026-01-15,lunch,50,40,3,0,0,0.17
MESS-1,2026-01-15,snacks,50,27,3,0,0,0.77
MESS-1,2026-01-15,dinner,50,37,3,0,0,0.87
MESS-1,2026-01-16,breakfast,50,32,4,0,0,0.38
MESS-1,2026-01-16,lunch,50,38,4,0,0,0.43
MESS-1,2026-01-16,snacks,50,29,4,0,0,0.15
MESS-1,2026-01-16,dinner,50,36,4,0,0,0.48
MESS-1,2026-01-17,breakfast,50,27,5,0,1,0.02
MESS-1,2026-01-17,lunch,50,36,5,0,1,0.16
MESS-1,2026-01-17,snacks,50,21,5,0,1,0.8
MESS-1,2026-01-17,dinner,50,32,5,0,1,0.59
MESS-1,2026-01-18,breakfast,50,29,6,0,1,0.3
MESS-1,2026-01-18,lunch,50,36,6,0,1,0.54
MESS-1,2026-01-18,snacks,50,21,6,0,1,0.23
MESS-1,2026-01-18,dinner,50,33,6,0,1,0.47
MESS-1,2026-01-19,breakfast,50,30,0,0,0,1.0
MESS-1,2026-01-19,lunch,50,41,0,0,0,0.85
MESS-1,2026-01-19,snacks,50,26,0,0,0,0.55
MESS-1,2026-01-19,dinner,50,37,0,0,0,0.52
MESS-1,2026-01-20,breakfast,50,32,1,0,0,0.8
MESS-1,2026-01-20,lunch,50,40,1,0,0,0.93
MESS-1,2026-01-20,snacks,50,28,1,0,0,0.51
MESS-1,2026-01-20,dinner,50,41,1,0,0,0.5
MESS-1,2026-01-21,breakfast,50,34,2,0,0,0.18
MESS-1,2026-01-21,lunch,50,41,2,0,0,0.81
MESS-1,2026-01-21,snacks,50,29,2,0,0,0.48
MESS-1,2026-01-21,dinner,50,40,2,0,0,0.31
MESS-1,2026-01-22,breakfast,50,31,3,0,0,0.14
MESS-1,2026-01-22,lunch,50,39,3,0,0,0.45
MESS-1,2026-01-22,snacks,50,29,3,0,0,0.39
MESS-1,2026-01-22,dinner,50,40,3,0,0,0.26
MESS-1,2026-01-23,breakfast,50,33,4,0,0,0.07
MESS-1,2026-01-23,lunch,50,39,4,0,0,0.79
MESS-1,2026-01-23,snacks,50,29,4,0,0,0.72
MESS-1,2026-01-23,dinner,50,38,4,0,0,0.8
MESS-1,2026-01-24,breakfast,50,28,5,0,1,0.48
MESS-1,2026-01-24,lunch,50,36,5,0,1,0.29
MESS-1,2026-01-24,snacks,50,24,5,0,1,0.33
MESS-1,2026-01-24,dinner,50,31,5,0,1,0.09
MESS-1,2026-01-25,breakfast,50,29,6,0,1,1.0
MESS-1,2026-01-25,lunch,50,37,6,0,1,0.88
MESS-1,2026-01-25,snacks,50,21,6,0,1,0.44
MESS-1,2026-01-25,dinner,50,34,6,0,1,0.13
MESS-1,2026-01-26,breakfast,50,34,0,0,0,0.22
MESS-1,2026-01-26,lunch,50,38,0,0,0,0.0
MESS-1,2026-01-26,snacks,50,25,0,0,0,0.25
MESS-1,2026-01-26,dinner,50,39,0,0,0,0.23
MESS-1,2026-01-27,breakfast,50,33,1,0,0,0.33
MESS-1,2026-01-27,lunch,50,40,1,0,0,0.89
MESS-1,2026-01-27,snacks,50,26,1,0,0,0.69
MESS-1,2026-01-27,dinner,50,38,1,0,0,0.16
MESS-1,2026-01-28,breakfast,50,33,2,0,0,0.96
MESS-1,2026-01-28,lunch,50,39,2,0,0,0.28
MESS-1,2026-01-28,snacks,50,28,2,0,0,0.84
MESS-1,2026-01-28,dinner,50,40,2,0,0,0.56
MESS-1,2026-01-29,breakfast,50,33,3,0,0,0.67
MESS-1,2026-01-29,lunch,50,38,3,0,0,0.19
MESS-1,2026-01-29,snacks,50,27,3,0,0,0.97
MESS-1,2026-01-29,dinner,50,39,3,0,0,0.42
MESS-1,2026-01-30,breakfast,50,34,4,0,0,0.06
MESS-1,2026-01-30,lunch,50,41,4,0,0,0.22
MESS-1,2026-01-30,snacks,50,26,4,0,0,0.53
MESS-1,2026-01-30,dinner,50,40,4,0,0,0.03
MESS-2,2026-01-01,breakfast,50,30,3,0,0,0.18
MESS-2,2026-01-01,lunch,50,39,3,0,0,0.76
MESS-2,2026-01-01,snacks,50,26,3,0,0,0.39
MESS-2,2026-01-01,dinner,50,37,3,0,0,0.86
MESS-2,2026-01-02,breakfast,50,31,4,0,0,0.21
MESS-2,2026-01-02,lunch,50,39,4,0,0,0.2
MESS-2,2026-01-02,snacks,50,25,4,0,0,0.08
MESS-2,2026-01-02,dinner,50,40,4,0,0,0.42
MESS-2,2026-01-03,breakfast,50,26,5,0,1,0.06
MESS-2,2026-01-03,lunch,50,36,5,0,1,0.91
MESS-2,2026-01-03,snacks,50,21,5,0,1,0.68
MESS-2,2026-01-03,dinner,50,32,5,0,1,0.42
MESS-2,2026-01-04,breakfast,50,26,6,0,1,0.13
MESS-2,2026-01-04,lunch,50,34,6,0,1,0.58
MESS-2,2026-01-04,snacks,50,21,6,0,1,0.61
MESS-2,2026-01-04,dinner,50,35,6,0,1,0.35
MESS-2,2026-01-05,breakfast,50,31,0,0,0,0.88
MESS-2,2026-01-05,lunch,50,38,0,0,0,0.57
MESS-2,2026-01-05,snacks,50,28,0,0,0,0.05
MESS-2,2026-01-05,dinner,50,38,0,0,0,0.17
MESS-2,2026-01-06,breakfast,50,30,1,0,0,0.49
MESS-2,2026-01-06,lunch,50,39,1,0,0,0.09
MESS-2,2026-01-06,snacks,50,28,1,0,0,0.95
MESS-2,2026-01-06,dinner,50,36,1,0,0,0.38
MESS-2,2026-01-07,breakfast,50,30,2,0,0,0.6
MESS-2,2026-01-07,lunch,50,41,2,0,0,0.54
MESS-2,2026-01-07,snacks,50,26,2,0,0,0.42
MESS-2,2026-01-07,dinner,50,36,2,0,0,0.05
MESS-2,2026-01-08,breakfast,50,34,3,0,0,0.43
MESS-2,2026-01-08,lunch,50,40,3,0,0,0.24
MESS-2,2026-01-08,snacks,50,25,3,0,0,0.68
MESS-2,2026-01-08,dinner,50,38,3,0,0,0.15
MESS-2,2026-01-09,breakfast,50,32,4,0,0,0.67
MESS-2,2026-01-09,lunch,50,41,4,0,0,0.73
MESS-2,2026-01-09,snacks,50,29,4,0,0,0.76
MESS-2,2026-01-09,dinner,50,40,4,0,0,0.75
MESS-2,2026-01-10,breakfast,50,28,5,0,1,0.83
MESS-2,2026-01-10,lunch,50,37,5,0,1,0.8
MESS-2,2026-01-10,snacks,50,23,5,0,1,0.48
MESS-2,2026-01-10,dinner,50,35,5,0,1,0.51
MESS-2,2026-01-11,breakfast,50,29,6,0,1,0.43
MESS-2,2026-01-11,lunch,50,37,6,0,1,0.8
MESS-2,2026-01-11,snacks,50,23,6,0,1,0.25
MESS-2,2026-01-11,dinner,50,36,6,0,1,0.76
MESS-2,2026-01-12,breakfast,50,32,0,0,0,0.91
MESS-2,2026-01-12,lunch,50,38,0,0,0,0.58
MESS-2,2026-01-12,snacks,50,26,0,0,0,0.97
MESS-2,2026-01-12,dinner,50,40,0,0,0,0.72
MESS-2,2026-01-13,breakfast,50,31,1,0,0,0.44
MESS-2,2026-01-13,lunch,50,41,1,0,0,0.19
MESS-2,2026-01-13,snacks,50,25,1,0,0,0.51
MESS-2,2026-01-13,dinner,50,37,1,0,0,0.72
MESS-2,2026-01-14,breakfast,50,31,2,0,0,0.88
MESS-2,2026-01-14,lunch,50,37,2,0,0,0.2
MESS-2,2026-01-14,snacks,50,27,2,0,0,0.51
MESS-2,2026-01-14,dinner,50,38,2,0,0,0.75
MESS-2,2026-01-15,breakfast,50,31,3,0,0,0.34
MESS-2,2026-01-15,lunch,50,42,3,0,0,0.28
MESS-2,2026-01-15,snacks,50,29,3,0,0,0.17
MESS-2,2026-01-15,dinner,50,36,3,0,0,0.33
MESS-2,2026-01-16,breakfast,50,30,4,0,0,0.25
MESS-2,2026-01-16,lunch,50,40,4,0,0,0.79
MESS-2,2026-01-16,snacks,50,28,4,0,0,0.34
MESS-2,2026-01-16,dinner,50,41,4,0,0,0.63
MESS-2,2026-01-17,breakfast,50,28,5,0,1,0.96
MESS-2,2026-01-17,lunch,50,36,5,0,1,0.82
MESS-2,2026-01-17,snacks,50,23,5,0,1,0.49
MESS-2,2026-01-17,dinner,50,35,5,0,1,0.08
MESS-2,2026-01-18,breakfast,50,25,6,0,1,0.96
MESS-2,2026-01-18,lunch,50,37,6,0,1,0.84
MESS-2,2026-01-18,snacks,50,22,6,0,1,0.23
MESS-2,2026-01-18,dinner,50,36,6,0,1,0.93
MESS-2,2026-01-19,breakfast,50,31,0,0,0,0.13
MESS-2,2026-01-19,lunch,50,38,0,0,0,0.7
MESS-2,2026-01-19,snacks,50,25,0,0,0,0.32
MESS-2,2026-01-19,dinner,50,39,0,0,0,0.15
MESS-2,2026-01-20,breakfast,50,33,1,0,0,0.65
MESS-2,2026-01-20,lunch,50,39,1,0,0,0.78
MESS-2,2026-01-20,snacks,50,25,1,0,0,0.27
MESS-2,2026-01-20,dinner,50,38,1,0,0,0.21
MESS-2,2026-01-21,breakfast,50,30,2,0,0,0.18
MESS-2,2026-01-21,lunch,50,40,2,0,0,0.16
MESS-2,2026-01-21,snacks,50,29,2,0,0,0.63
MESS-2,2026-01-21,dinner,50,39,2,0,0,0.8
MESS-2,2026-01-22,breakfast,50,32,3,0,0,0.14
MESS-2,2026-01-22,lunch,50,39,3,0,0,0.06
MESS-2,2026-01-22,snacks,50,27,3,0,0,0.39
MESS-2,2026-01-22,dinner,50,39,3,0,0,0.28
MESS-2,2026-01-23,breakfast,50,33,4,0,0,0.84
MESS-2,2026-01-23,lunch,50,40,4,0,0,0.63
MESS-2,2026-01-23,snacks,50,28,4,0,0,0.03
MESS-2,2026-01-23,dinner,50,37,4,0,0,0.54
MESS-2,2026-01-24,breakfast,50,29,5,0,1,0.33
MESS-2,2026-01-24,lunch,50,34,5,0,1,0.62
MESS-2,2026-01-24,snacks,50,22,5,0,1,0.62
MESS-2,2026-01-24,dinner,50,32,5,0,1,0.47
MESS-2,2026-01-25,breakfast,50,28,6,0,1,0.44
MESS-2,2026-01-25,lunch,50,36,6,0,1,0.04
MESS-2,2026-01-25,snacks,50,23,6,0,1,0.28
MESS-2,2026-01-25,dinner,50,34,6,0,1,0.64
MESS-2,2026-01-26,breakfast,50,34,0,0,0,0.61
MESS-2,2026-01-26,lunch,50,41,0,0,0,0.51
MESS-2,2026-01-26,snacks,50,26,0,0,0,0.71
MESS-2,2026-01-26,dinner,50,38,0,0,0,0.28
MESS-2,2026-01-27,breakfast,50,31,1,0,0,0.28
MESS-2,2026-01-27,lunch,50,40,1,0,0,0.39
MESS-2,2026-01-27,snacks,50,29,1,0,0,0.22
MESS-2,2026-01-27,dinner,50,40,1,0,0,0.44
MESS-2,2026-01-28,breakfast,50,32,2,0,0,0.08
MESS-2,2026-01-28,lunch,50,40,2,0,0,0.03
MESS-2,2026-01-28,snacks,50,29,2,0,0,0.34
MESS-2,2026-01-28,dinner,50,39,2,0,0,0.32
MESS-2,2026-01-29,breakfast,50,33,3,0,0,0.26
MESS-2,2026-01-29,lunch,50,39,3,0,0,0.47
MESS-2,2026-01-29,snacks,50,25,3,0,0,0.2
MESS-2,2026-01-29,dinner,50,41,3,0,0,0.12
MESS-2,2026-01-30,breakfast,50,30,4,0,0,0.41
MESS-2,2026-01-30,lunch,50,37,4,0,0,0.95
MESS-2,2026-01-30,snacks,50,28,4,0,0,0.42
MESS-2,2026-01-30,dinner,50,40,4,0,0,0.91
