student_id,department,year,category,seniority_score,pref_block_1,pref_block_2
STU0001,CSE,2,general,2.299,HB-2,
STU0002,MCA,2,general,2.093,HB-1,
STU0003,ME,2,staff_quota,2.035,HB-6,
STU0004,MCA,1,general,1.156,HB-6,
STU0005,PhD,4,reserved,4.482,HB-6,
STU0006,CSE,1,general,1.3,HB-5,
STU0007,EE,1,general,1.048,HB-1,
STU0008,CE,1,reserved,1.302,HB-1,
STU0009,PhD,2,general,2.336,HB-2,
STU0010,CE,3,reserved,3.339,HB-6,
STU0011,CSE,2,reserved,2.434,HB-5,
STU0012,EE,2,general,2.254,HB-1,
STU0013,PhD,3,general,3.129,HB-5,
STU0014,MCA,2,general,2.029,HB-2,
STU0015,CSE,4,reserved,4.364,HB-1,
STU0016,ECE,4,general,4.144,HB-1,
STU0017,ECE,2,general,2.013,HB-2,
STU0018,CE,3,staff_quota,3.324,HB-5,
STU0019,ME,4,reserved,4.278,HB-4,
STU0020,CE,1,general,1.466,HB-1,
STU0021,MCA,3,general,3.461,HB-5,
STU0022,MCA,4,general,4.464,HB-4,
STU0023,ME,4,general,4.002,HB-2,
STU0024,ECE,1,staff_quota,1.048,HB-1,
STU0025,ME,3,reserved,3.351,HB-6,
STU0026,PhD,4,general,4.073,HB-4,
STU0027,MCA,4,reserved,4.177,HB-4,
STU0028,MCA,1,general,1.165,HB-2,
STU0029,ECE,4,reserved,4.406,HB-1,
STU0030,ME,4,general,4.07,HB-5,
STU0031,MCA,4,general,4.339,HB-3,
STU0032,ME,1,general,1.242,HB-4,
STU0033,CE,1,general,1.056,HB-1,
STU0034,ME,3,reserved,3.082,HB-1,
STU0035,CSE,1,reserved,1.477,HB-2,
STU0036,ECE,2,general,2.161,HB-3,
STU0037,PhD,3,staff_quota,3.281,HB-5,
STU0038,MCA,4,general,4.057,HB-2,
STU0039,CE,4,reserved,4.173,HB-2,
STU0040,EE,4,general,4.236,HB-6,
STU0041,PhD,1,general,1.277,HB-3,
STU0042,PhD,2,general,2.019,HB-3,
STU0043,MCA,2,general,2.051,HB-5,
STU0044,ECE,2,general,2.021,HB-4,
STU0045,CSE,1,general,1.348,HB-2,
STU0046,CSE,1,reserved,1.169,HB-3,
STU0047,ECE,1,reserved,1.094,HB-6,
STU0048,ME,4,reserved,4.07,HB-6,
STU0049,PhD,4,general,4.297,HB-2,
STU0050,EE,3,general,3.352,HB-5,
STU0051,MCA,3,staff_quota,3.242,HB-3,
STU0052,CSE,3,general,3.053,HB-2,
STU0053,EE,3,general,3.017,HB-1,
STU0054,CSE,2,general,2.095,HB-1,
STU0055,EE,4,general,4.314,HB-1,
STU0056,CSE,2,general,2.217,HB-1,
STU0057,ME,2,general,2.36,HB-5,
STU0058,CE,3,reserved,3.243,HB-3,
STU0059,PhD,1,general,1.378,HB-6,
STU0060,PhD,2,reserved,2.013,HB-3,
STU0061,PhD,1,general,1.16,HB-3,
STU0062,PhD,2,general,2.359,HB-6,
STU0063,CSE,2,general,2.031,HB-2,
STU0064,CE,1,reserved,1.036,HB-4,
STU0065,PhD,1,reserved,1.468,HB-4,
STU0066,MCA,3,general,3.146,HB-4,
STU0067,CSE,2,reserved,2.369,HB-6,
STU0068,CSE,1,general,1.156,HB-1,
STU0069,CSE,2,staff_quota,2.217,HB-5,
STU0070,CSE,3,general,3.302,HB-5,
STU0071,MCA,1,general,1.203,HB-1,
STU0072,PhD,4,staff_quota,4.112,HB-4,
STU0073,PhD,1,general,1.137,HB-5,
STU0074,CSE,1,staff_quota,1.183,HB-2,
STU0075,ME,1,general,1.262,HB-4,
STU0076,MCA,4,reserved,4.26,HB-2,
STU0077,ME,1,general,1.411,HB-3,
STU0078,ECE,1,reserved,1.251,HB-1,
STU0079,EE,2,reserved,2.398,HB-1,
STU0080,PhD,3,reserved,3.196,HB-5,
STU0081,CSE,4,reserved,4.058,HB-6,
STU0082,CSE,1,general,1.248,HB-2,
STU0083,ME,2,general,2.28,HB-6,
STU0084,CE,2,reserved,2.333,HB-5,
STU0085,ME,4,staff_quota,4.173,HB-2,
STU0086,PhD,3,general,3.157,HB-4,
STU0087,ME,3,general,3.347,HB-2,
STU0088,ME,3,reserved,3.221,HB-1,
STU0089,PhD,1,general,1.018,HB-6,
STU0090,CSE,4,reserved,4.254,HB-1,
STU0091,ME,3,reserved,3.005,HB-4,
STU0092,CE,4,general,4.477,HB-3,
STU0093,ME,1,general,1.433,HB-3,
STU0094,EE,4,general,4.101,HB-4,
STU0095,EE,3,general,3.274,HB-6,
STU0096,CE,4,general,4.134,HB-3,
STU0097,CSE,4,staff_quota,4.349,HB-2,
STU0098,EE,4,general,4.37,HB-1,
STU0099,PhD,4,general,4.037,HB-5,
STU0100,CSE,1,reserved,1.324,HB-5,
